,count,month,year,time,date,RF.BKA.02_5 min,RF.BKA.02_15 min,RF.BKA.02_30 min,RF.BKA.02_1 hr,FW.BBU.01_Q,FW.BBU.01_WL
0,0,8,2017,13:05:00,14/08/2017,0,0,0,0,1.85,-0.5
1,0,8,2017,13:10:00,14/08/2017,0,0,0,0,1.85,-0.5
2,0,8,2017,13:15:00,14/08/2017,0,0,0,0,2.23,-0.5
3,0,8,2017,13:20:00,14/08/2017,0,0,0,0,2.23,-0.5
4,0,8,2017,13:25:00,14/08/2017,0,0,0,0,1.68,-0.5
5,0,8,2017,13:30:00,14/08/2017,0,0,0,0,1.68,-0.5
6,0,8,2017,13:35:00,14/08/2017,0,0,0,0,1.7,-0.5
7,0,8,2017,13:40:00,14/08/2017,0,0,0,0,1.7,-0.5
8,0,8,2017,13:45:00,14/08/2017,0,0,0,0,1.7,-0.5
9,0,8,2017,13:50:00,14/08/2017,0,0,0,0,1.7,-0.5
10,0,8,2017,13:55:00,14/08/2017,0,0,0,0,1.7,-0.5
11,0,8,2017,14:00:00,14/08/2017,0,0,0,0,0.74,-0.5
12,0,8,2017,14:05:00,14/08/2017,0,0,0,0,0.61,-0.5
13,0,8,2017,14:10:00,14/08/2017,0,0,0,0,0.61,-0.5
14,0,8,2017,14:15:00,14/08/2017,0,0,0,0,0.9,-0.5
15,0,8,2017,14:20:00,14/08/2017,0,0,0,0,0.9,-0.5
16,0,8,2017,14:25:00,14/08/2017,0,0,0,0,1.03,-0.5
17,0,8,2017,14:30:00,14/08/2017,0,0,0,0,1.03,-0.5
18,0,8,2017,14:35:00,14/08/2017,0,0,0,0,1.03,-0.5
19,0,8,2017,14:40:00,14/08/2017,0,0,0,0,1.62,-0.51
20,0,8,2017,14:45:00,14/08/2017,0,0,0,0,1.55,-0.51
21,0,8,2017,14:50:00,14/08/2017,0,0,0,0,1.97,-0.51
22,0,8,2017,14:55:00,14/08/2017,0,0,0,0,1.97,-0.51
23,0,8,2017,15:00:00,14/08/2017,0,0,0,0,1.97,-0.51
24,0,8,2017,15:05:00,14/08/2017,0,0,0,0,1.97,-0.51
25,0,8,2017,15:10:00,14/08/2017,0,0,0,0,1.22,-0.51
26,0,8,2017,15:15:00,14/08/2017,0,0,0,0,1.62,-0.51
27,0,8,2017,15:20:00,14/08/2017,0,0,0,0,1.62,-0.51
28,0,8,2017,15:25:00,14/08/2017,0,0,0,0,1.62,-0.51
29,0,8,2017,15:30:00,14/08/2017,0,0,0,0,1.62,-0.51
30,0,8,2017,15:35:00,14/08/2017,0,0,0,0,1.62,-0.51
31,0,8,2017,15:40:00,14/08/2017,0,0,0,0,1.62,-0.51
32,0,8,2017,15:45:00,14/08/2017,0,0,0,0,1.45,-0.51
